username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
SpeakingHuman;2016-09-17 04:18;0;0;@trynsave @senatorkirk Jefferson ordered genocide against Americans. American slavery was comparably atrocious.;;@trynsave @senatorkirk;;7.76969E+17;https://twitter.com/SpeakingHuman/status/776968509800779776;
SpeakingHuman;2016-09-17 04:04;0;0;@senatorkirk @acnmmidwives It's messed up that you equate all women's health care with maternity care. Women's health goes beyond breeding.;;@senatorkirk @acnmmidwives;;7.76965E+17;https://twitter.com/SpeakingHuman/status/776965022459256832;
JoyToy312;2016-09-17 04:01;1;0;2ndX in 2MO Trump threatened Hillarys life HELP @RepDuckworth @SenatorDurbin @SenatorKirk #VoteDemocrateDownTicket https:// twitter.com/JoyToy312/stat us/776929469344776192 …;;@RepDuckworth @SenatorDurbin @SenatorKirk;#VoteDemocrateDownTicket;7.76964E+17;https://twitter.com/JoyToy312/status/776964276024070144;
SpeakingHuman;2016-09-17 03:52;0;1;"@senatorkirk New families?"" Are you aware that women & teenage girls require GYN medical care, as individuals, without starting a family?""";;@senatorkirk;;7.76962E+17;https://twitter.com/SpeakingHuman/status/776961898755592192;
TommyWhyso;2016-09-17 02:03;0;0;@SenatorKirk Why don't you care about psychiatry's money ploy (making up fake mental disorders) to make money on healthy adults and kids?;;@SenatorKirk;;7.76935E+17;https://twitter.com/TommyWhyso/status/776934593186365441;
wolfpsy;2016-09-17 01:31;0;0;@RepCheri @SenatorKirk @SenatorDurbin @SpeakerRyan @SenateMajLdr If you are Clinton Foundation, better jump ship https:// twitter.com/wolfpsy/status /776926274144972801 …;;@RepCheri @SenatorKirk @SenatorDurbin @SpeakerRyan @SenateMajLdr;;7.76926E+17;https://twitter.com/wolfpsy/status/776926432622620672;
MaryPatriotNews;2016-09-17 01:00;0;0;http:// goo.gl/zH5LOd 11x's LEFT HAS PUSHED #ANTIGAY #HOAXES ! @SenatorBaldwin @SenJeffMerkley @SenatorLeahy @PattyMurray @SenatorKirk @WSJ;;@SenatorBaldwin @SenJeffMerkley @SenatorLeahy @PattyMurray @SenatorKirk @WSJ;#ANTIGAY #HOAXES;7.76919E+17;https://twitter.com/MaryPatriotNews/status/776918830937505797;
BriannaSaunde12;2016-09-17 00:27;0;0;@SenatorDurbin @SenatorKirk @RepKinzinger Drug Epidemic is out of control in Chicago.Keep Kratom legal. #SaveKratom https:// twitter.com/k8eCakes81/sta tus/776903551918313472 …;;@SenatorDurbin @SenatorKirk @RepKinzinger;#SaveKratom;7.7691E+17;https://twitter.com/BriannaSaunde12/status/776910386658324480;
jmr_chicago;2016-09-16 23:56;0;0;@SenatorKirk families also shouldn't have to worry about the GOP holding SCOTUS hostage. #DoYourJob;;@SenatorKirk;#DoYourJob;7.76903E+17;https://twitter.com/jmr_chicago/status/776902705285632000;
rusincerely;2016-09-16 22:25;2;3;@Robinsky40 @NooneOFan @SenatorKirk @JeffFlake @YDanasmithdutra Another group that loses if Trump wins? Animals. http:// wpo.st/EU8z1;;@Robinsky40 @NooneOFan @SenatorKirk @JeffFlake @YDanasmithdutra;;7.7688E+17;https://twitter.com/rusincerely/status/776879697506471936;
