username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;;
Chimin49901280;2016-11-07 01:42;0;0;. @SenSchumer . @SenGillibrand . @SecretaryFoxx @nextgenpollutes 3 planes/min over ClintonHill,Bedstuy,treating us like animals, shame on you!;;@SenSchumer @SenGillibrand @SecretaryFoxx @nextgenpollutes;;7.95426E+17;https://twitter.com/Chimin49901280/status/795426230099132416;;
snyfgp;2016-11-07 01:35;2;2;The @SpectraEnergy AIM will endanger millions of people. @POTUS @SenSchumer please step in NOW to stop this dangerous pipeline.;;@SpectraEnergy @POTUS @SenSchumer;;7.95424E+17;https://twitter.com/snyfgp/status/795424362119696385;;
now7grandkids;2016-11-07 01:30;0;1;@Senschumer please demand that all early votes are counted separately fr election day2 c if FBI hurt u&dem sen RT;;@Senschumer;;7.95423E+17;https://twitter.com/now7grandkids/status/795423142307135488;;
BUFJILL;2016-11-07 00:24;0;0;Stop changing our clocks! @NYGovCuomo @SenSchumer @RepBrianHiggins @SenGillibrand;;@NYGovCuomo @SenSchumer @RepBrianHiggins @SenGillibrand;;7.95407E+17;https://twitter.com/BUFJILL/status/795406581173256200;;
chrismccreight;2016-11-06 23:47;1;1;Well done @SenSchumer pic.twitter.com/nTWLGU69oc;;@SenSchumer;;7.95397E+17;https://twitter.com/chrismccreight/status/795397123995004928;;
InjuredBryd;2016-11-06 23:31;0;0;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer Dolan patio get broken bottles of stealth contamination?;;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer;;7.95393E+17;https://twitter.com/InjuredBryd/status/795393170251063302;;
mushroomfeet;2016-11-06 23:27;0;0;. @mcuban You better believe it! #HouseOversightComitte REALLY MUST INVESTIGATE . @jasoninthehouse ! . @repjohnlewis . @SenSchumer #WeThePeople;;@mcuban @jasoninthehouse @repjohnlewis @SenSchumer;#HouseOversightComitte #WeThePeople;7.95392E+17;https://twitter.com/mushroomfeet/status/795392095938813956;;
kenmhaggerty;2016-11-06 23:22;0;1;So happy Robin Laverne Wilson ( @robinforsenator ) is running against @SenSchumer ! With platform like this, will proudly vote for her on Tues. pic.twitter.com/8uy348dsk6;;@robinforsenator @SenSchumer;;7.95391E+17;https://twitter.com/kenmhaggerty/status/795390958733029383;;
IntrepidCommute;2016-11-06 22:49;0;0;#PeteKing just appeared in an ad w Chuck @SenSchumer Awful! Vote Wendy Long all day! #WendyLong @WendyLongNY;;@SenSchumer @WendyLongNY;#PeteKing #WendyLong;7.95383E+17;https://twitter.com/IntrepidCommute/status/795382614555291648;;
LeroyComrie;2016-11-06 22:35;2;5;Reminding folks to vote for me, @HillaryClinton , @SenSchumer , @GregoryMeeks & @clydevanel Tues. Nov. 8th. Your voice and your vote matters! pic.twitter.com/tfNipCy368;;@HillaryClinton @SenSchumer @GregoryMeeks @clydevanel;;7.95379E+17;https://twitter.com/LeroyComrie/status/795379008439513090;;
goodwilwin12;2016-11-06 22:29;2;2;@SenSchumer @chucktodd @chrislhayes @HardballChris @JoeNBC @Ward4Anderson @Mattison @nathanTbernard @Jflo918 https:// twitter.com/peterdaou/stat us/795374023060418560 …;;@SenSchumer @chucktodd @chrislhayes @HardballChris @JoeNBC @Ward4Anderson @Mattison @nathanTbernard @Jflo918;;7.95378E+17;https://twitter.com/goodwilwin12/status/795377694909300736;;
WillConard;2016-11-06 22:29;2;0;#bFair2DirectCare @RepPeteKing @SenGillibrand @SenSchumer I'm a DSP I deserve a higher wage. New York is home, but not without a living wage pic.twitter.com/o8DwVu2MPO;;@RepPeteKing @SenGillibrand @SenSchumer;#bFair2DirectCare;7.95378E+17;https://twitter.com/WillConard/status/795377538663116800;;
JamesDiGeorgia;2016-11-06 22:28;3;3;. @SenSchumer . @NancyPelosi . @SenFranken . @RepCummings Please demand InspectorGeneral investigation of . @rudygiulianiGOP & his FBI contacts!;;@SenSchumer @NancyPelosi @SenFranken @RepCummings @rudygiulianiGOP;;7.95377E+17;https://twitter.com/JamesDiGeorgia/status/795377313827454981;;
thejoshuablog;2016-11-06 22:13;1;4;. @POTUS @WhiteHouse @VP @LorettaLynch @Schneiderman @SenSchumer @HillaryClinton @brianefallon @timkaine COMEY & NY CHIEF MUST GO WEDNESDAY https:// twitter.com/thejoshuablog/ status/795371563524702208 …;;@POTUS @WhiteHouse @VP @LorettaLynch @Schneiderman @SenSchumer @HillaryClinton @brianefallon @timkaine;;7.95374E+17;https://twitter.com/thejoshuablog/status/795373655538679808;;
sweet2melissa;2016-11-06 21:54;0;0;@SenSchumer when we call you Leader Schumer the FBI needs to be investigated for this debacle #FBILeaks;;@SenSchumer;#FBILeaks;7.95369E+17;https://twitter.com/sweet2melissa/status/795368749503279105;;
FarmPolicy;2016-11-06 21:38;0;0;@SenSchumer & @SenGillibrand Push Help for Dairy Farmers Wants @USDA to Refund Dairy MPP Premiums- http:// ow.ly/1JGO305Ug7h pic.twitter.com/eBrTbNwQhA;;@SenSchumer @SenGillibrand @USDA;;7.95365E+17;https://twitter.com/FarmPolicy/status/795364823945060352;;
erinwade323;2016-11-06 20:31;1;3;The N.Y. Senate race between @SenSchumer & @WendyLongNY is actually super important (so I wrote a thing about it). http:// bunewsservice.com/the-high-stake s-of-new-yorks-low-drama-senate-race/ …;;@SenSchumer @WendyLongNY;;7.95348E+17;https://twitter.com/erinwade323/status/795347924838469632;;
Notorious_NYG;2016-11-06 20:01;0;1;@KPMcClave @HillaryClinton @SenSchumer @colleendeacon Glad Wendy Long blocked me. And I can't even vote in NY. Just funny.;;@KPMcClave @HillaryClinton @SenSchumer @colleendeacon;;7.9534E+17;https://twitter.com/Notorious_NYG/status/795340271663935488;;
mikedidi1964;2016-11-06 19:28;0;0;@bpolitics @SenSchumer I HAVE LOST CONFIDENCE IN YOU ELITE'S WHO ARE NOT DOING YOUR JOB.;;@bpolitics @SenSchumer;;7.95332E+17;https://twitter.com/mikedidi1964/status/795332011128922113;;
InjuredBryd;2016-11-06 19:25;0;0;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer civil law DOES not explain MY LOSS OF information safety;;@cardinaldolan @chuckgrassley @dangarodnick @lizkrueger @sengillibrand @senschumer;;7.95331E+17;https://twitter.com/InjuredBryd/status/795331267701211136;;
Tenuretrack;2016-11-06 19:20;0;0;@SpeakerRyan Listen, we'll support you if you can sit down and work with Hillary. @gop @newtgingrich @SenSchumer @SenateMajLdr https:// twitter.com/speakerryan/st atus/795328183025500161 …;;@SpeakerRyan @gop @newtgingrich @SenSchumer @SenateMajLdr;;7.9533E+17;https://twitter.com/Tenuretrack/status/795330069032030209;;
