# date;sentiment;objectivity;retweets;favourites
07.11.2016 01:18;0;0;0;0
07.11.2016 01:05;0;0;0;0
07.11.2016 01:00;0.740625;0.628125;0;2
07.11.2016 00:45;0.175;0.7;0;0
07.11.2016 00:41;-0.4;1;0;1
07.11.2016 00:39;0.347222222;0.466666667;0;0
07.11.2016 00:33;-0.125;0.125;0;0
07.11.2016 00:24;-0.155555556;0.288888889;0;0
07.11.2016 00:21;0;0;4;6
07.11.2016 00:12;0;1;0;0
07.11.2016 00:06;0;0;0;2
07.11.2016 00:02;0.148148148;0.32962963;0;1
07.11.2016 00:01;0.2;0.25;0;0
07.11.2016 00:00;0;0;0;0
06.11.2016 23:53;-0.5;1;0;1
06.11.2016 23:39;-0.183333333;0.55;0;0
06.11.2016 23:33;0;0;0;0
06.11.2016 23:31;0.136363636;0.5;0;1
06.11.2016 23:27;-0.25;0.8;0;0
06.11.2016 23:26;0.25;0.25;0;0
06.11.2016 23:20;0.268571429;0.845238095;0;0
06.11.2016 23:18;0;0;0;0
06.11.2016 23:13;0;0;0;0
06.11.2016 23:08;-0.2;0.2;0;0
06.11.2016 22:58;-0.15;0.425;0;0
06.11.2016 22:46;-0.025;0.4875;0;1
06.11.2016 22:40;0;0;0;0
06.11.2016 22:38;-0.4;0.6;0;0
06.11.2016 22:35;0;0;1;2
06.11.2016 22:31;-0.625;1;2;2
06.11.2016 22:28;0;0;0;1
06.11.2016 22:24;0.0375;0.1625;0;0
06.11.2016 22:22;0;0;0;1
06.11.2016 22:20;-0.5;0.9;0;0
06.11.2016 22:17;0.5;0.5;0;0
06.11.2016 22:14;0;0;0;1
06.11.2016 22:14;0;0;0;0
06.11.2016 22:09;0.1;1;1;1
06.11.2016 22:08;0;0;0;0
06.11.2016 22:07;-0.714285714;0.857142857;0;0
06.11.2016 22:05;0;0;0;0
06.11.2016 21:51;0;0;0;0
06.11.2016 21:48;0;0;0;0
06.11.2016 21:39;0;0;0;0
06.11.2016 21:23;0;0;0;0
06.11.2016 21:07;0;0.4;0;0
06.11.2016 20:59;0;0;6;0
06.11.2016 20:50;0;0;0;0
06.11.2016 20:39;0;0;0;2
06.11.2016 20:38;0;0;0;0
06.11.2016 20:36;-0.166666667;0.533333333;0;0
06.11.2016 20:22;0.020833333;0.520833333;0;0
06.11.2016 20:20;0.25;0.25;2;4
06.11.2016 20:18;0.3;0.9;2;3
06.11.2016 20:17;0;0.4;0;1
06.11.2016 20:15;0;0;4;2
