# date;sentiment;objectivity;retweets;favourites
04.11.2016 14:49;1;0.3;1;1
04.11.2016 14:38;0;0;9;9
04.11.2016 11:36;0;0;5;3
04.11.2016 11:34;0;0;5;1
04.11.2016 06:53;-0.2;0.1;2;5
04.11.2016 06:08;0;0.4;3;8
04.11.2016 05:35;-0.35;0.9;0;1
04.11.2016 05:07;-0.8;1;0;0
04.11.2016 05:05;0.35;0.65;0;0
04.11.2016 04:36;-0.6;0.9;0;0
04.11.2016 04:16;-0.5859375;0.1;0;0
04.11.2016 04:15;0;0;1;3
04.11.2016 04:11;0.175;0.866666667;0;0
04.11.2016 03:40;-0.454545455;0.818181818;0;0
04.11.2016 03:27;0.25;0.75;1;6
04.11.2016 02:29;0.1;0.3;0;0
04.11.2016 02:18;0;0;0;1
04.11.2016 02:13;0;0;0;0
04.11.2016 02:08;0;0;1;1
04.11.2016 02:04;0.25;0.5;0;2
04.11.2016 02:00;0;0;0;0
04.11.2016 01:37;0;0;1;1
04.11.2016 01:06;0;0;0;2
04.11.2016 01:04;0;0;9;40
04.11.2016 00:47;-0.075;0.158333333;0;2
04.11.2016 00:45;0.4;1;2;5
03.11.2016 23:40;0.3125;0.333333333;0;0
03.11.2016 23:13;0;0;0;1
03.11.2016 23:11;0;0;0;0
03.11.2016 22:56;0.35;0.3;0;1
03.11.2016 22:44;-0.1;0.6;0;0
03.11.2016 21:59;-0.5;0.4;14;71
03.11.2016 21:53;0;0;0;1
03.11.2016 21:37;0.625;0.6;1;1
03.11.2016 21:33;0;0;1;1
03.11.2016 20:43;0;0;3;1
03.11.2016 20:32;0;0;10;29
03.11.2016 19:28;-0.05;0.8;0;0
03.11.2016 18:46;0;0;18;35
03.11.2016 18:13;0.525;0.666666667;0;5
03.11.2016 17:55;0;0;1;1
03.11.2016 17:55;0;0;1;1
03.11.2016 17:54;0.4;0.233333333;186;624
03.11.2016 16:56;0.2;0.2;11;24
03.11.2016 16:53;0;0;4;9
03.11.2016 16:49;0;0;0;0
03.11.2016 16:47;0.8;0.75;8;5
03.11.2016 16:27;0;0;0;0
03.11.2016 16:09;0.7125;0.4;9;69
03.11.2016 15:09;0;0;3;5
03.11.2016 15:05;0;0;9;27
03.11.2016 14:32;0.125;0.1;0;1
03.11.2016 14:31;0;0.1;0;1
03.11.2016 13:41;0;0;0;1
03.11.2016 05:49;0;0;72;189
03.11.2016 04:01;0.580357143;0.742857143;4;4
03.11.2016 03:51;0;0;1;1
03.11.2016 01:44;0.2;0.95;0;0
03.11.2016 01:43;0;0.1;0;0
03.11.2016 01:29;0;0;0;0
03.11.2016 00:23;0;0;0;0
02.11.2016 23:53;0.133333333;0.333333333;0;3
02.11.2016 23:53;0.303977273;0.575;0;20
02.11.2016 23:38;0;0.1;0;0
02.11.2016 23:38;0.247222222;0.469444444;0;0
02.11.2016 23:22;0.244444444;0.544444444;2;2
02.11.2016 23:16;0;0;4;3
02.11.2016 23:16;0;0;0;1
02.11.2016 22:21;0;0;0;0
02.11.2016 22:12;0.55;0.9;0;2
02.11.2016 21:53;0.35;0.65;0;0
02.11.2016 21:53;0;0;0;2
02.11.2016 21:40;0;0;1;0
02.11.2016 20:41;0;0;0;0
02.11.2016 20:27;0;0;0;1
02.11.2016 20:25;0.125;0.3;2;4
02.11.2016 19:57;0;0;4;3
02.11.2016 19:49;0;0;8;25
02.11.2016 19:08;0.5;0.3;0;0
02.11.2016 18:35;0;0.357142857;0;0
02.11.2016 18:17;0;0;12;4
02.11.2016 17:44;0.433333333;0.733333333;0;11
02.11.2016 17:30;0;0;1;1
02.11.2016 17:24;0;0;0;1
02.11.2016 17:13;0.25;0.25;0;0
02.11.2016 16:52;0.5;0.6;0;0
02.11.2016 16:42;0;0;0;0
02.11.2016 15:55;0;0;0;1
02.11.2016 15:50;0.08;0.27;2;1
02.11.2016 15:36;0;0;1;1
02.11.2016 15:24;-0.1;0.1;0;1
02.11.2016 15:15;0;0;0;0
02.11.2016 15:08;0;0;21;16
02.11.2016 14:00;-0.283333333;0.477777778;0;0
02.11.2016 13:18;0;0;3;1
02.11.2016 11:38;0.333333333;0.366666667;0;1
02.11.2016 06:07;0.3;0.1;0;0
02.11.2016 05:57;0;0;0;0
02.11.2016 05:37;0;0;0;0
02.11.2016 04:46;0;0;0;0
02.11.2016 03:27;0.097222222;0.583333333;0;0
02.11.2016 02:27;0.125;0.375;0;1
02.11.2016 02:15;0;0;10;5
02.11.2016 02:11;0;0;0;1
02.11.2016 02:04;0.35;0.65;1;1
02.11.2016 01:59;0;0;1;1
02.11.2016 01:51;0.2;0.3;0;1
02.11.2016 01:49;0.2;0.3;1;1
02.11.2016 01:46;-0.0625;0.220833333;0;1
02.11.2016 01:46;0.433333333;0.416666667;1;1
02.11.2016 01:45;0.8;0.9;0;1
02.11.2016 01:43;0;0;0;0
02.11.2016 01:43;0.4;0.628571429;162;303
02.11.2016 01:30;-0.090909091;0.488636364;3;4
02.11.2016 01:17;0.625;0.5;0;0
02.11.2016 01:10;0;0;1;0
02.11.2016 00:56;0;0;0;1
02.11.2016 00:47;0;0;10;42
02.11.2016 00:37;0.8;1;0;1
02.11.2016 00:34;-0.155555556;0.288888889;15;16
02.11.2016 00:16;0.075;0.3375;0;0
02.11.2016 00:10;0;0;1;1
02.11.2016 00:05;0.166666667;0.666666667;0;0
01.11.2016 23:59;0;0;5;10
01.11.2016 23:30;0.4;0.25;8;13
01.11.2016 23:30;0.180899471;0.619365079;2;17
01.11.2016 23:24;0.1375;0.4;12;42
01.11.2016 23:21;0;0;1;3
01.11.2016 22:45;0.1;0.3;0;0
01.11.2016 22:40;0;0;14;8
01.11.2016 22:26;0.15;1;0;1
01.11.2016 22:16;0;0;0;0
01.11.2016 22:10;0;0;1;2
01.11.2016 22:05;0;0.125;0;1
01.11.2016 21:59;0.302777778;0.644444444;2;4
01.11.2016 21:43;0;0;0;2
01.11.2016 21:41;0.8;0.4;0;0
01.11.2016 21:25;0;0;0;1
01.11.2016 21:22;0;0;0;1
